Landcode;Levensnummer;Werknummer;Geboortedatum;Haarkleur;Geslacht;Landcode_moeder;Levensnummer_moeder;Aanvoer;Afvoer;UBN
BE;918314059;4059;09-02-2024;Rood-wit;M;BE;214383014;08-05-2024;;6259491
BE;218314060;4060;09-02-2024;Rood-wit;M;BE;913754595;08-05-2024;;6259491
BE;518534062;4062;01-04-2024;Zwartbont;M;BE;914686331;24-06-2024;;6259491
BE;718534089;4089;09-05-2024;Zwartbont;M;BE;320881023;09-08-2024;;6259491
BE;418244090;4090;28-03-2024;Roodbont;M;BE;114170736;24-06-2024;;6259491
NL;597840924;4092;10-02-2024;Zwartbont;M;NL;933628641;08-05-2024;;6259491
NL;930140926;4092;15-02-2024;Zwartbont;M;NL;616335758;08-05-2024;;6259491
NL;878540963;4096;03-04-2024;Zwartbont;M;NL;567939658;24-06-2024;;6259491
LU;418434102;4102;12-02-2024;Zwartbont;M;;;08-05-2024;;6259491
BE;318164104;4104;03-04-2024;Roodbont;M;BE;117910201;24-06-2024;;6259491
BE;118224111;4111;17-05-2024;Zwartbont;M;BE;613380564;16-08-2024;;6259491
NL;875541259;4125;13-02-2024;Zwartbont;M;NL;610538306;08-05-2024;;6259491
NL;595341300;4130;10-02-2024;Zwartbont;M;NL;675128643;08-05-2024;;6259491
NL;768241381;4138;23-04-2024;Zwartbont;V;NL;679639226;09-08-2024;;6259491
NL;937741409;4140;02-04-2024;Zwartbont;M;NL;572509372;24-06-2024;;6259491
NL;640141420;4142;17-05-2024;Roodbont;M;NL;611236836;09-08-2024;;6259491
NL;937741454;4145;02-04-2024;Zwartbont;M;NL;671906355;24-06-2024;;6259491
NL;590541486;4148;10-02-2024;Zwartbont;M;NL;574738202;08-05-2024;;6259491
NL;937741485;4148;02-04-2024;Zwartbont;M;NL;630722880;24-06-2024;;6259491
LU;418334159;4159;01-04-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;818334160;4160;01-04-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;595741719;4171;12-02-2024;Zwartbont;M;NL;680737562;08-05-2024;;6259491
NL;640341880;4188;17-05-2024;Roodbont;M;NL;892496541;16-08-2024;;6259491
LU;318354193;4193;29-03-2024;Roodbont;M;;;24-06-2024;;6259491
NL;594441940;4194;12-05-2024;Zwartbont;M;NL;576340047;16-08-2024;;6259491
NL;709541974;4197;17-05-2024;Zwartbont;M;NL;575336641;16-08-2024;;6259491
NL;589141989;4198;16-05-2024;Zwartbont;M;NL;633940586;16-08-2024;;6259491
LU;018354205;4205;17-05-2024;Zwartbont;M;;;16-08-2024;;6259491
NL;709542117;4211;01-04-2024;Zwartbont;M;NL;895233819;24-06-2024;;6259491
NL;709542124;4212;29-03-2024;Zwartbont;M;NL;575336689;24-06-2024;;6259491
NL;929842198;4219;10-02-2024;Zwartbont;M;NL;680337603;08-05-2024;;6259491
LU;618314220;4220;03-01-2024;Zwartbont;M;;;11-04-2024;;6259491
NL;540342257;4225;15-05-2024;Zwartbont;M;NL;621839126;16-08-2024;;6259491
NL;695242312;4231;11-05-2024;Zwartbont;M;NL;613641018;09-08-2024;;6259491
NL;891142326;4232;12-02-2024;Zwartbont;M;NL;865128251;08-05-2024;;6259491
NL;726442430;4243;11-05-2024;Zwartbont;M;NL;877637396;16-08-2024;;6259491
NL;540342620;4262;16-05-2024;Zwartbont;M;NL;547241355;16-08-2024;;6259491
LU;618344267;4267;28-03-2024;Zwartbont;M;;;24-06-2024;;6259491
LU;718294283;4283;30-03-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;589043096;4309;14-02-2024;Zwartbont;M;NL;727910488;08-05-2024;;6259491
LU;718364316;4316;01-04-2024;Zwartbont;M;;;24-06-2024;;6259491
NL;965643164;4316;10-02-2024;Zwartbont;M;NL;585606941;08-05-2024;;6259491
